CATEGORYTRANSLATION_ID,CATEGORYTRANSLATION_CATEGORY,CATEGORYTRANSLATION_LANGUAGE,CATEGORYTRANSLATION_NAME,CATEGORYTRANSLATION_DESCRIPTION,CATEGORYTRANSLATION_METATITLE,CATEGORYTRANSLATION_METADESCRIPTION,CATEGORYTRANSLATION_METAKEYWORD
1,1,1,Phones,Phones,Phones,,
2,1,2,Telefone,Telefone,Telefone,,
3,2,1,Memory cards,Memory cards,Memory cards,,
4,2,2,Speicherkarten,Speicherkarten,Speicherkarten,,
5,3,1,Monitors,Monitors,Monitors,,
6,3,2,Monitore,Monitore,Monitore,,
7,4,1,Vitamins,Vitamins,Vitamins,,
8,4,2,Vitamine,Vitamine,Vitamine,,
9,5,1,Oral care,Oral care,Oral care,,
10,5,2,Mundpflege,Mundpflege,Mundpflege,,
